Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16220663,39,,2025-08-06 9:57:05,,8.28,7h99xur,0,,Yes,90001,pf9e57419,pb8812282,pffe2652f,2025/08/06 2:48 AM,United States,d4f492c82b24f274e387b50c32ccf3f2016f2e75,smartphone,"Surveillance/security cameras,Speed Cameras",5 = Extremely concerned,4 = Often,3 = Somewhat familiar,4 = Very aware,4 = Very aware,5 = Fully aware,4 = Very aware,4 = Very aware,5 = Strongly support,5 = Strongly support,No,4 = Very concerned,1 = Entirely for public safety,"Police,Local government,Private companies,Federal Government",Police department,4 = Very important,4 = Likely,5 = Strongly agree,5 = Strongly agree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Increase use",White,Positly,40,male,completedDoctorateDegree,1985,8,Very liberal,"$200,000 or more",0,2,8,225000,,3 = Moderately concerned,3 = Moderately concerned
16220770,39,,2025-08-06 10:35:06,,2.93,7h99xur,0,,Yes,94026,pfa30393c,pfc2ec94d,pffe2652f,2025/08/06 3:33 AM,United States,ab39f2662a7a1bbab2ff6c24f3141422f698e8c6,smartphone,"Surveillance/security cameras,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,3 = Sometimes,1 = Not at all familiar,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,3 = Somewhat aware,3 = Somewhat aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,3 = Equally both,No one — it shouldn’t be collected,Marines,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Require more transparency,Hispanic or Latino,Survey junkie,45,male,completedTradeTechicalVocationalTraing,1980,3,Moderate,"$10,000 to $24,999",0,0,1,17500,,2 = Slightly concerned,3 = Moderately concerned
16220776,39,,2025-08-06 10:37:50,,3.85,7h99xur,0,,No,95688,pc8e16905,pbf752949,pffe2652f,2025/08/06 3:35 AM,United States,b524c568bab2b13e844858ff7688c918463eff4e,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",1 = Not at all concerned,3 = Sometimes,5 = Extremely familiar,3 = Somewhat aware,4 = Very aware,1 = Not at all aware,4 = Very aware,3 = Somewhat aware,5 = Strongly support,5 = Strongly support,No,1 = Not concerned at all,3 = Equally both,"Police,Local government,Federal Government","Local elected officials,Police department",5 = Absolutely essential,1 = Very unlikely,1 = Strongly disagree,1 = Strongly disagree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Black or African American,Native American or Indigenous,White",Dave,37,male,completedOnlyHighSchoolOrTheEquivalent,1988,2,Moderate,"$115,000 to $149,999",0,0,6,132500,,1 = Not at all concerned,1 = Not at all concerned
16220827,39,,2025-08-06 10:49:30,,4.15,7h99xur,0,,No,94061,pb2f42347,pdcdacccc,pffe2652f,2025/08/06 3:46 AM,United States,c1565e58bace7562a134d4348c45f526018d9727,desktop,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,2 = Rarely,1 = Not at all familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,1 = Not concerned at all,4 = Mostly for social control,No one — it shouldn’t be collected,No one,2 = Slightly important,5 = Very likely,1 = Strongly disagree,3 = Neutral,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval",White,surveyjunkie,73,male,completedBachelorsDegree,1952,5,Liberal,"$40,000 to $59,999",0,1,3,50000,,2 = Slightly concerned,2 = Slightly concerned
16220850,39,,2025-08-06 10:53:16,,18.08,7h99xur,0,,Yes,94103,pf62e3f07,pf0c343c9,pffe2652f,2025/08/06 3:48 AM,United States,65b8f700f25cdf3a77a7487d13202c83f5ac0d9f,smartphone,"Surveillance/security cameras,Facial recognition technology,Speed Cameras,None of the above",1 = Not at all concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,4 = Somewhat support,No,2 = Slightly concerned,2 = Mostly for public safety,"Police,Local government,Federal Government","Local elected officials,Police department",1 = Not important at all,3 = Unsure,1 = Strongly disagree,3 = Neutral,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Keep things as they are",White,Email,28,female,completedMastersDegree,1997,6,Liberal,"$150,000 to $199,999",1,1,7,175000,,1 = Not at all concerned,4 = Very concerned
16220859,39,,2025-08-06 10:56:42,,16.22,7h99xur,0,,Yes,94608,pb1ee6503,pfa096494,pffe2652f,2025/08/06 3:48 AM,United States,25fd80508c4c105c59504a61dbcf5d6983419bf1,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",5 = Extremely concerned,4 = Often,3 = Somewhat familiar,4 = Very aware,4 = Very aware,1 = Not at all aware,1 = Not at all aware,4 = Very aware,4 = Somewhat support,4 = Somewhat support,Yes,4 = Very concerned,3 = Equally both,"Police,Local government","Local elected officials,Community organizations,Community members",5 = Absolutely essential,4 = Likely,2 = Somewhat disagree,5 = Strongly agree,4 = Somewhat agree,"Require more transparency,Require public approval",White,Opinion Edge,45,male,completedMastersDegree,1980,6,Very conservative,"$115,000 to $149,999",0,-2,6,132500,Surveillance makes me feel uncomfortable and concerned about my privacy.,4 = Very concerned,5 = Extremely concerned
16220916,39,,2025-08-06 11:17:56,,2.57,7h99xur,0,,Yes,94505,pf6bd2541,pd0adf2ee,pffe2652f,2025/08/06 4:15 AM,United States,eb4935c71265049370b57d36689ae17228247631,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",1 = Not at all concerned,2 = Rarely,3 = Somewhat familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,4 = Somewhat support,4 = Somewhat support,No,3 = Moderately concerned,3 = Equally both,"Police,Local government,Federal Government",Police department,4 = Very important,4 = Likely,4 = Somewhat agree,2 = Somewhat disagree,4 = Somewhat agree,Keep things as they are,White,Instagram,61,female,completedProfessionalDegree,1964,7,Very conservative,"$200,000 or more",1,-2,8,225000,,2 = Slightly concerned,1 = Not at all concerned
16220959,39,,2025-08-06 11:30:07,,29.92,7h99xur,0,,Yes,95120,pfb098586,pc1c9a5d7,pffe2652f,2025/08/06 4:27 AM,United States,a1f6de65dec6c37068b00bd0d675d189fc078f09,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,4 = Somewhat support,2 = Somewhat oppose,No,3 = Moderately concerned,2 = Mostly for public safety,"Police,Local government","Local elected officials,Police department,Community organizations,Community members",5 = Absolutely essential,5 = Very likely,2 = Somewhat disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",Black or African American,Branded Survey's,66,male,completedBachelorsDegree,1959,5,Moderate,"$60,000 to $84,999",0,0,4,72500,,5 = Extremely concerned,4 = Very concerned
16220967,39,,2025-08-06 11:32:31,,2.65,7h99xur,0,,Yes,94403,pf69704d3,pa55bf95a,pffe2652f,2025/08/06 4:31 AM,United States,2703a988c66955d85fa7e9a1b8179aeadd7736e2,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",3 = Moderately concerned,3 = Sometimes,2 = Slightly familiar,2 = Slightly aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,Yes,4 = Very concerned,4 = Mostly for social control,Police,"Local elected officials,Community organizations",4 = Very important,3 = Unsure,2 = Somewhat disagree,4 = Somewhat agree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Friend,45,male,completedProfessionalDegree,1980,7,Moderate,"$200,000 or more",0,0,8,225000,I don’t like it at all. I don’t want to be seen all the time.,4 = Very concerned,4 = Very concerned
16220975,39,,2025-08-06 11:34:15,,5.33,7h99xur,0,,No,97415,pd9b84f06,pb846ae21,pffe2652f,2025/08/06 4:31 AM,United States,7d1e8eb6cb1a2e9e0a3b920665d909b12e1b15eb,smartphone,,2 = Slightly concerned,4 = Often,2 = Slightly familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,1 = Not at all aware,4 = Somewhat support,3 = Neutral / Not sure,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Federal Government",Police department,2 = Slightly important,2 = Unlikely,3 = Neutral,1 = Strongly disagree,5 = Strongly agree,"Require more transparency,Increase use",White,Positly,66,male,completedTradeTechicalVocationalTraing,1959,3,Conservative,"$25,000 to $39,999",0,-1,2,32500,,1 = Not at all concerned,1 = Not at all concerned
16221024,39,,2025-08-06 11:51:53,,3.52,7h99xur,0,,Yes,94080,pd400754e,pa8a79c9f,pffe2652f,2025/08/06 4:50 AM,United States,855e00332e867879bc1bf7518a92b1b0f91f5494,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",2 = Slightly concerned,3 = Sometimes,2 = Slightly familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,No,2 = Slightly concerned,4 = Mostly for social control,"Police,No one — it shouldn’t be collected",Local elected officials,4 = Very important,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,2 = Somewhat disagree,"Ban them,Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Dave,35,female,completedBachelorsDegree,1990,5,Moderate,"$60,000 to $84,999",1,0,4,72500,,2 = Slightly concerned,5 = Extremely concerned
16221047,39,,2025-08-06 11:56:59,,4.42,7h99xur,0,,No,95403,pc66e1d48,pc890d06e,pffe2652f,2025/08/06 4:54 AM,United States,fecc7f675d1d38905bf227d661de4772a5e90039,desktop,None of the above,2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,2 = Slightly concerned,2 = Mostly for public safety,Police,"Local elected officials,Community organizations",4 = Very important,3 = Unsure,3 = Neutral,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Telwhut survey site,77,female,completedBachelorsDegree,1948,5,Liberal,"$60,000 to $84,999",1,1,4,72500,,4 = Very concerned,5 = Extremely concerned
16221081,39,,2025-08-06 12:06:27,,3.77,7h99xur,0,,No,95123,pdbadc1da,pcde29c36,pffe2652f,2025/08/06 5:04 AM,United States,0062bc0c29fee90eb2d95e25ebc6675d44d4f2eb,smartphone,None of the above,2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,3 = Somewhat aware,1 = Not at all aware,3 = Somewhat aware,1 = Not at all aware,2 = Slightly aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Yes,5 = Extremely concerned,3 = Equally both,"Police,Federal Government","Local elected officials,Police department",3 = Moderately important,3 = Unsure,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency","Hispanic or Latino,White,Middle Eastern or North African",Instagram,19,female,completedOnlyHighSchoolOrTheEquivalent,2006,2,Moderate,"$10,000 to $24,999",1,0,1,17500,Made me feel weird! I was aware they watch for accidents but information being given without a warrant is unacceptable!,5 = Extremely concerned,5 = Extremely concerned
16221194,39,,2025-08-06 12:32:15,,1.92,7h99xur,0,,Yes,94579,pbf53c3a1,pb494c3ea,pffe2652f,2025/08/06 5:30 AM,United States,60bb2418b10bb5fd832c668362ab427da5a5e683,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,Speed Cameras",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Yes,3 = Moderately concerned,3 = Equally both,No one — it shouldn’t be collected,Community members,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Keep things as they are,Hispanic or Latino,Friend,35,male,completedOnlyHighSchoolOrTheEquivalent,1990,2,Moderate,"$60,000 to $84,999",0,0,4,72500,It made me feel like I was constantly watched at any point from anywhere.,3 = Moderately concerned,3 = Moderately concerned
16221217,39,,2025-08-06 12:37:29,,5.3,7h99xur,0,,Yes,94547,pf0c46703,pf852f1a0,pffe2652f,2025/08/06 5:34 AM,United States,1b0b9983c068793ed6e44bd224456a1f20c15e17,smartphone,"Surveillance/security cameras,Drones",1 = Not at all concerned,3 = Sometimes,1 = Not at all familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,5 = Strongly support,No,1 = Not concerned at all,1 = Entirely for public safety,"Police,Local government,Federal Government",Police department,1 = Not important at all,2 = Unlikely,5 = Strongly agree,1 = Strongly disagree,5 = Strongly agree,Increase use,White,Survey junkie,47,male,completedOnlyHighSchoolOrTheEquivalent,1978,2,Conservative,"$115,000 to $149,999",0,-1,6,132500,,1 = Not at all concerned,1 = Not at all concerned
16221524,39,,2025-08-06 13:38:52,,11.05,7h99xur,0,,Yes,94608,pc3cc8cf0,pd6243e5a,pffe2652f,2025/08/06 6:32 AM,United States,a4ea319c2e1ee34434d3ef876c1880cd4e7432ec,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,5 = All the time,3 = Somewhat familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,2 = Slightly concerned,3 = Equally both,Police,Police department,4 = Very important,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Friend,55,male,completedAssociateDegreeOnly,1970,4,Moderate,"$10,000 to $24,999",0,0,1,17500,,4 = Very concerned,4 = Very concerned
16221584,39,,2025-08-06 13:51:22,,5.17,7h99xur,0,,No,94536,pd623e5c1,pae3d36aa,pffe2652f,2025/08/06 6:48 AM,United States,674f8c395af445e404912fa2753833dc0725fa01,desktop,None of the above,2 = Slightly concerned,1 = Never,1 = Not at all familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Somewhat support,4 = Somewhat support,No,3 = Moderately concerned,2 = Mostly for public safety,Local government,Police department,4 = Very important,3 = Unsure,2 = Somewhat disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Survey Junkie,70,female,completedBachelorsDegree,1955,5,Moderate,"$85,000 to $114,999",1,0,5,100000,,5 = Extremely concerned,5 = Extremely concerned
16221680,39,,2025-08-06 14:07:34,,5.22,7h99xur,0,,Yes,94928,paba9200d,pb9d2771e,pffe2652f,2025/08/06 7:05 AM,United States,4da7ea17044e83bb29d193162ea6fc103c99b069,desktop,Surveillance/security cameras,3 = Moderately concerned,4 = Often,1 = Not at all familiar,4 = Very aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,Yes,2 = Slightly concerned,3 = Equally both,Police,I trust no one to make this decision,5 = Absolutely essential,4 = Likely,1 = Strongly disagree,2 = Somewhat disagree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,via survey junkie,70,male,completedTradeTechicalVocationalTraing,1955,3,Liberal,"$40,000 to $59,999",0,1,3,50000,"big brother is always watching, everywhere",4 = Very concerned,5 = Extremely concerned
16221695,39,,2025-08-06 14:10:58,,2.63,7h99xur,0,,Yes,95035,pfada65bf,pc5490eff,pffe2652f,2025/08/06 7:08 AM,United States,258722cecd6a794616f1b3cffa9daed4a62801d6,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,Speed Cameras",1 = Not at all concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,4 = Somewhat support,Not sure,2 = Slightly concerned,2 = Mostly for public safety,"Police,Federal Government",Police department,2 = Slightly important,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Increase use",Asian or Pacific Islander,Flyer,38,female,completedBachelorsDegree,1987,5,Moderate,"$200,000 or more",1,0,8,225000,,2 = Slightly concerned,4 = Very concerned
16221697,39,,2025-08-06 14:11:10,,4.58,7h99xur,0,,Yes,95112,pd10921bf,pc89e28e2,pffe2652f,2025/08/06 7:08 AM,United States,818e27e145d0f1d3116b7e01c77e6a8f67675f46,smartphone,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,1 = Strongly oppose,No,5 = Extremely concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Instagram,27,female,completedOnlyHighSchoolOrTheEquivalent,1998,2,Moderate,"$10,000 to $24,999",1,0,1,17500,,5 = Extremely concerned,5 = Extremely concerned
16221761,39,,2025-08-06 14:21:30,,2.72,7h99xur,0,,Yes,94122,pd5d4c3cd,pcc146662,pffe2652f,2025/08/06 7:19 AM,United States,67251c2ab34b7735d72213996a6ce200fc128dca,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",4 = Very concerned,5 = All the time,5 = Extremely familiar,4 = Very aware,4 = Very aware,4 = Very aware,4 = Very aware,4 = Very aware,2 = Somewhat oppose,2 = Somewhat oppose,Yes,4 = Very concerned,4 = Mostly for social control,"Local government,Federal Government",Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,Ban them,White,Positly,55,male,completedMastersDegree,1970,6,Very liberal,"$200,000 or more",0,2,8,225000,it made me question the motives of my local city officials,5 = Extremely concerned,5 = Extremely concerned
